Excel行,Excel名(C),Excelレアリティ(G),Excel型番(F),正規化名,正規化レアリティ,型番候補,理由
18,【PSA10】竜騎士ブラック・マジシャン・ガール,クォーターセンチュリーシークレット,QCAC-JP020,竜騎士ブラックマジシャンガル,クォ-タ-センチュリ-シ-クレット,QCAC-JP020,no match
19,【PSA10】竜騎士ブラック・マジシャン・ガール,クォーターセンチュリーシークレット,QCAC-JP020,竜騎士ブラックマジシャンガル,クォ-タ-センチュリ-シ-クレット,QCAC-JP020,no match
63,【PSA10】朔夜しぐれ（イラスト違い）,プリズマティックシークレット,PAC1-JP035,朔夜しぐれ(イラスト違い),プリズマティックシ-クレット,PAC1-JP035,no match
84,【PSA10】星杯の神子イヴ,20thシークレット,DANE-JP035,星杯の神子イヴ,20TH,DANE-JP035,no match
90,【PSA10】青眼の白龍,ホログラフィック,TRC1-JP000,青眼の白龍,HOLOGRAPHIC,TRC1-JP000,no match
126,【PSA10】(レリーフ)サイバー・レーザー・ドラゴン,アルティメット,SOI-JP007,サイバレザドラゴン,ULTIMATE,SOI-JP007,no match
127,【PSA10】(レリーフ)サイバー・バリア・ドラゴン,アルティメット,SOI-JP006,サイババリアドラゴン,ULTIMATE,SOI-JP006,no match
130,【PSA10】(レリーフ)神炎皇ウリア,アルティメット,SOI-JP001,神炎皇ウリア,ULTIMATE,SOI-JP001,no match
156,【PSA10】(レリーフ)カオス・ソルジャー,アルティメット,304-054,カオスソルジャ,ULTIMATE,304-054,no match
181,【PSA10】スターダスト・ドラゴン－ヴィクテム・サンクチュアリ(OFプリシク),プリズマティックシークレット,JP007,スタダストドラゴンヴィクテムサンクチュアリ,PSE,JP007,no match
182,【PSA10】黒魔導のカーテン(OFプリシク),プリズマティックシークレット,JP003,黒魔導のカテン,PSE,JP003,no match
239,【PSA10】閃刀姫＝ゼロ,プリズマティックシークレット,DUAD-JP049,閃刀姫=ゼロ,プリズマティックシ-クレット,DUAD-JP049,no match
251,【PSA10】青眼の白龍,TOKYO DOME GREEN Ver.,TD02-JP001,青眼の白龍,TOKYODOMEGREENVER.,TD02-JP001,no match
